actual,predicted,error,abs_error
1133233.449999999,509373.1766563347,623860.2733436644,623860.2733436644
1325248.0000000002,703875.2768118642,621372.723188136,621372.723188136
963643.7900000004,343092.7432156951,620551.0467843052,620551.0467843052
868830.1599999997,248551.36992388382,620278.7900761159,620278.7900761159
802414.1600000006,183166.39686684648,619247.7631331541,619247.7631331541
707296.2200000001,89480.52361380073,617815.6963861993,617815.6963861993
931779.7000000005,315366.116471736,616413.5835282645,616413.5835282645
297603.3799999999,913395.1248571861,-615791.7448571862,615791.7448571862
794166.4999999999,178545.541083842,615620.958916158,615620.958916158
927566.2599999998,311950.09496560646,615616.1650343933,615616.1650343933
949592.1299999998,334639.2581950091,614952.8718049907,614952.8718049907
1464808.7799999989,850745.3395442682,614063.4404557307,614063.4404557307
421459.8800000001,1031456.8740855517,-609996.9940855516,609996.9940855516
754041.0399999997,144629.70918436907,609411.3308156306,609411.3308156306
248727.0400000001,856786.6055486676,-608059.5655486675,608059.5655486675
852168.8399999995,244452.05956735736,607716.7804326422,607716.7804326422
863353.1699999996,257156.61062169267,606196.5593783068,606196.5593783068
1047831.6999999994,441717.29347634094,606114.4065236584,606114.4065236584
189004.3500000001,794438.8098635505,-605434.4598635504,605434.4598635504
1171844.6800000002,566956.64202098,604888.0379790202,604888.0379790202
1393624.7600000002,792615.0091686106,601009.7508313897,601009.7508313897
735079.9500000004,134699.45250119662,600380.4974988038,600380.4974988038
1086013.3200000003,486963.76286775904,599049.5571322413,599049.5571322413
781055.0099999998,183111.9863990829,597943.0236009168,597943.0236009168
1183608.3200000005,587212.5859372147,596395.7340627859,596395.7340627859
737383.6200000005,141736.21724088624,595647.4027591143,595647.4027591143
1151675.1699999992,557513.6848659859,594161.4851340133,594161.4851340133
1529628.8399999992,936715.8182570242,592913.021742975,592913.021742975
795817.3300000005,204553.58178689398,591263.7482131065,591263.7482131065
1822131.5400000012,1232050.2737818856,590081.2662181156,590081.2662181156
980166.7999999997,390118.87389775517,590047.9261022445,590047.9261022445
968719.9100000004,378711.5746054641,590008.3353945363,590008.3353945363
1595824.5199999989,1008247.1877948673,587577.3322051315,587577.3322051315
1080416.9699999993,494571.8007083133,585845.169291686,585845.169291686
939268.5900000003,354945.32582850766,584323.2641714927,584323.2641714927
664176.8499999997,80956.38815219315,583220.4618478066,583220.4618478066
836059.1399999998,253604.49645740588,582454.6435425939,582454.6435425939
846013.7900000004,263753.1784426656,582260.6115573348,582260.6115573348
1236957.5999999994,657902.550265046,579055.0497349534,579055.0497349534
1030321.9999999998,451626.9915288749,578695.0084711248,578695.0084711248
762199.5299999996,183674.50789655352,578525.0221034461,578525.0221034461
1180763.35,602676.9446365676,578086.4053634325,578086.4053634325
1507595.6900000002,929882.0337091329,577713.6562908672,577713.6562908672
933468.4599999993,357777.31104266475,575691.1489573345,575691.1489573345
2310039.35,1735476.360835639,574562.989164361,574562.989164361
822255.4500000002,248786.96845029568,573468.4815497044,573468.4815497044
815915.5500000006,244141.34905405575,571774.2009459449,571774.2009459449
1137387.2400000002,565931.3847015618,571455.8552984385,571455.8552984385
244457.25000000017,813675.6149563695,-569218.3649563694,569218.3649563694
